model,operating_point,threshold,metric,point_estimate,ci_lower_95,ci_upper_95,n_bootstrap_valid
SACU_LearnedShallowMetaFusion,Default_0.50,0.5,roc_auc,0.7161112647492625,0.6533696723044403,0.7757829187716757,2000
SACU_LearnedShallowMetaFusion,Default_0.50,0.5,average_precision,0.39877184079463673,0.30415458492156117,0.4935260269072916,2000
SACU_LearnedShallowMetaFusion,Default_0.50,0.5,accuracy,0.869,0.848,0.889,2000
SACU_LearnedShallowMetaFusion,Default_0.50,0.5,balanced_accuracy,0.6761615044247787,0.6266649736644093,0.7258868730567756,2000
SACU_LearnedShallowMetaFusion,Default_0.50,0.5,sensitivity_recall,0.4375,0.3406480117820324,0.5375240384615383,2000
SACU_LearnedShallowMetaFusion,Default_0.50,0.5,specificity,0.9148230088495575,0.8962814468446882,0.9316458923757304,2000
SACU_LearnedShallowMetaFusion,Default_0.50,0.5,precision_ppv,0.35294117647058826,0.2685128726287263,0.437511405109489,2000
SACU_LearnedShallowMetaFusion,Default_0.50,0.5,npv,0.9387060158910329,0.9229024290959191,0.9542347172278522,2000
SACU_LearnedShallowMetaFusion,Default_0.50,0.5,f1,0.39069767441860465,0.30414746543778803,0.4672897196261682,2000
SACU_LearnedShallowMetaFusion,Default_0.50,0.5,mcc,0.32055267326193376,0.22955663349351305,0.4055820255831617,2000
SACU_LearnedShallowMetaFusion,Youden,0.5555196054279777,roc_auc,0.7161112647492625,0.6533696723044403,0.7757829187716757,2000
SACU_LearnedShallowMetaFusion,Youden,0.5555196054279777,average_precision,0.39877184079463673,0.30415458492156117,0.4935260269072916,2000
SACU_LearnedShallowMetaFusion,Youden,0.5555196054279777,accuracy,0.886,0.865,0.905,2000
SACU_LearnedShallowMetaFusion,Youden,0.5555196054279777,balanced_accuracy,0.6855641592920354,0.6367547027840482,0.7357505199030033,2000
SACU_LearnedShallowMetaFusion,Youden,0.5555196054279777,sensitivity_recall,0.4375,0.3406480117820324,0.5375240384615383,2000
SACU_LearnedShallowMetaFusion,Youden,0.5555196054279777,specificity,0.9336283185840708,0.9157519389671478,0.9481250501982373,2000
SACU_LearnedShallowMetaFusion,Youden,0.5555196054279777,precision_ppv,0.4117647058823529,0.3131155303030303,0.5,2000
SACU_LearnedShallowMetaFusion,Youden,0.5555196054279777,npv,0.9398663697104677,0.9244238291149411,0.9551066217732884,2000
SACU_LearnedShallowMetaFusion,Youden,0.5555196054279777,f1,0.42424242424242425,0.33513239127452327,0.5023266835666262,2000
SACU_LearnedShallowMetaFusion,Youden,0.5555196054279777,mcc,0.36124818317421586,0.2673612069964129,0.4463195969122452,2000
SACU_LearnedShallowMetaFusion,HighSensitivity_0.90,0.1807155516602614,roc_auc,0.7161112647492625,0.6533696723044403,0.7757829187716757,2000
SACU_LearnedShallowMetaFusion,HighSensitivity_0.90,0.1807155516602614,average_precision,0.39877184079463673,0.30415458492156117,0.4935260269072916,2000
SACU_LearnedShallowMetaFusion,HighSensitivity_0.90,0.1807155516602614,accuracy,0.29,0.263,0.318,2000
SACU_LearnedShallowMetaFusion,HighSensitivity_0.90,0.1807155516602614,balanced_accuracy,0.5654037610619469,0.5320631645861589,0.5967829231319977,2000
SACU_LearnedShallowMetaFusion,HighSensitivity_0.90,0.1807155516602614,sensitivity_recall,0.90625,0.8470558223289316,0.9603992965085981,2000
SACU_LearnedShallowMetaFusion,HighSensitivity_0.90,0.1807155516602614,specificity,0.2245575221238938,0.19800857270123146,0.25222814207650274,2000
SACU_LearnedShallowMetaFusion,HighSensitivity_0.90,0.1807155516602614,precision_ppv,0.11040609137055837,0.08883042512690356,0.13256343077771648,2000
SACU_LearnedShallowMetaFusion,HighSensitivity_0.90,0.1807155516602614,npv,0.9575471698113207,0.9302300192952168,0.9819860038610038,2000
SACU_LearnedShallowMetaFusion,HighSensitivity_0.90,0.1807155516602614,f1,0.19683257918552036,0.16154362014250642,0.23178969384314033,2000
SACU_LearnedShallowMetaFusion,HighSensitivity_0.90,0.1807155516602614,mcc,0.09428042063673342,0.04603428031625446,0.13946934321059498,2000
SACU_LearnedShallowMetaFusion,HighSpecificity_0.90,0.5555196054279777,roc_auc,0.7161112647492625,0.6533696723044403,0.7757829187716757,2000
SACU_LearnedShallowMetaFusion,HighSpecificity_0.90,0.5555196054279777,average_precision,0.39877184079463673,0.30415458492156117,0.4935260269072916,2000
SACU_LearnedShallowMetaFusion,HighSpecificity_0.90,0.5555196054279777,accuracy,0.886,0.865,0.905,2000
SACU_LearnedShallowMetaFusion,HighSpecificity_0.90,0.5555196054279777,balanced_accuracy,0.6855641592920354,0.6367547027840482,0.7357505199030033,2000
SACU_LearnedShallowMetaFusion,HighSpecificity_0.90,0.5555196054279777,sensitivity_recall,0.4375,0.3406480117820324,0.5375240384615383,2000
SACU_LearnedShallowMetaFusion,HighSpecificity_0.90,0.5555196054279777,specificity,0.9336283185840708,0.9157519389671478,0.9481250501982373,2000
SACU_LearnedShallowMetaFusion,HighSpecificity_0.90,0.5555196054279777,precision_ppv,0.4117647058823529,0.3131155303030303,0.5,2000
SACU_LearnedShallowMetaFusion,HighSpecificity_0.90,0.5555196054279777,npv,0.9398663697104677,0.9244238291149411,0.9551066217732884,2000
SACU_LearnedShallowMetaFusion,HighSpecificity_0.90,0.5555196054279777,f1,0.42424242424242425,0.33513239127452327,0.5023266835666262,2000
SACU_LearnedShallowMetaFusion,HighSpecificity_0.90,0.5555196054279777,mcc,0.36124818317421586,0.2673612069964129,0.4463195969122452,2000
